15:22:06{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677219726485, 'symbol': 'BTCUSDT', 'side': 'BUY', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23871.8, 'averagePrice': 0.0, 'stopPrice': 0.0, 'execType': 'NEW', 'orderStatus': 'NEW', 'orderLastFilledQuantity': 122365752270.0, 'commisionAsset': None, 'commision': None, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
15:22:06{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677219726485, 'symbol': 'BTCUSDT', 'side': 'BUY', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23871.8, 'averagePrice': 23848.0, 'stopPrice': 0.0, 'execType': 'TRADE', 'orderStatus': 'FILLED', 'orderLastFilledQuantity': 122365752270.0, 'commisionAsset': 'USDT', 'commision': 0.095392, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
16:35:10{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677224110759, 'symbol': 'BTCUSDT', 'side': 'BUY', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23847.4, 'averagePrice': 0.0, 'stopPrice': 0.0, 'execType': 'NEW', 'orderStatus': 'NEW', 'orderLastFilledQuantity': 122384218287.0, 'commisionAsset': None, 'commision': None, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
16:35:10{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677224110759, 'symbol': 'BTCUSDT', 'side': 'BUY', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23847.4, 'averagePrice': 23823.6, 'stopPrice': 0.0, 'execType': 'TRADE', 'orderStatus': 'PARTIALLY_FILLED', 'orderLastFilledQuantity': 122384218287.0, 'commisionAsset': 'USDT', 'commision': 0.06670608, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
16:35:10{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677224110760, 'symbol': 'BTCUSDT', 'side': 'BUY', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23847.4, 'averagePrice': 23823.6, 'stopPrice': 0.0, 'execType': 'TRADE', 'orderStatus': 'FILLED', 'orderLastFilledQuantity': 122384218287.0, 'commisionAsset': 'USDT', 'commision': 0.02858832, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
20:17:33{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677237454157, 'symbol': 'BTCUSDT', 'side': 'SELL', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23820.7, 'averagePrice': 0.0, 'stopPrice': 0.0, 'execType': 'NEW', 'orderStatus': 'NEW', 'orderLastFilledQuantity': 122440906865.0, 'commisionAsset': None, 'commision': None, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
20:17:33{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677237454157, 'symbol': 'BTCUSDT', 'side': 'SELL', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23820.7, 'averagePrice': 23843.9, 'stopPrice': 0.0, 'execType': 'TRADE', 'orderStatus': 'FILLED', 'orderLastFilledQuantity': 122440906865.0, 'commisionAsset': 'USDT', 'commision': 0.0953756, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
20:26:59{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677238020834, 'symbol': 'BTCUSDT', 'side': 'BUY', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23872.4, 'averagePrice': 0.0, 'stopPrice': 0.0, 'execType': 'NEW', 'orderStatus': 'NEW', 'orderLastFilledQuantity': 122443424897.0, 'commisionAsset': None, 'commision': None, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
20:27:06{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677238027003, 'symbol': 'BTCUSDT', 'side': 'BUY', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23872.4, 'averagePrice': 0.0, 'stopPrice': 0.0, 'execType': 'CANCELED', 'orderStatus': 'CANCELED', 'orderLastFilledQuantity': 122443424897.0, 'commisionAsset': None, 'commision': None, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
20:27:17{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677238038598, 'symbol': 'BTCUSDT', 'side': 'SELL', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23873.4, 'averagePrice': 0.0, 'stopPrice': 0.0, 'execType': 'NEW', 'orderStatus': 'NEW', 'orderLastFilledQuantity': 122443526989.0, 'commisionAsset': None, 'commision': None, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
20:27:17{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677238038599, 'symbol': 'BTCUSDT', 'side': 'SELL', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23873.4, 'averagePrice': 23874.3, 'stopPrice': 0.0, 'execType': 'TRADE', 'orderStatus': 'PARTIALLY_FILLED', 'orderLastFilledQuantity': 122443526989.0, 'commisionAsset': 'USDT', 'commision': 0.00954971, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
