N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"71,900",400,+0.56%,100,"4,292,274","5,969,783",52.19,"13,062,251",12.45,13.92,
2,LG에너지솔루션,"420,000","3,500",+0.84%,500,"982,800","234,000",3.66,"458,983",284.75,N/A,
3,SK하이닉스,"123,000",500,+0.41%,"5,000","895,443","728,002",50.68,"3,279,809",11.12,9.53,
4,삼성전자우,"66,100",800,+1.23%,100,"543,928","822,887",74.76,"580,931",11.44,N/A,
5,NAVER,"314,500","12,000",+3.97%,100,"515,934","164,049",54.95,"808,472",3.11,15.22,
6,삼성바이오로직스,"769,000","9,000",+1.18%,"2,500","508,809","66,165",10.49,"56,088",123.95,N/A,
7,카카오,"94,400","4,400",+4.89%,100,"420,988","445,962",28.20,"3,676,332",37.17,2.70,
8,LG화학,"554,000","5,000",+0.91%,"5,000","391,082","70,592",49.05,"365,385",14.44,2.93,
9,현대차,"174,000","1,000",+0.58%,"5,000","371,783","213,668",27.13,"944,788",8.82,2.04,
10,삼성SDI,"539,000","23,000",+4.46%,"5,000","370,641","68,765",44.15,"248,940",33.81,4.54,
11,기아,"73,800",400,+0.54%,"5,000","299,158","405,363",35.17,"1,424,896",6.69,5.05,
12,KB금융,"58,900","2,100",-3.44%,"5,000","244,911","415,808",72.23,"2,228,518",5.63,8.53,
13,POSCO,"275,500","2,500",-0.90%,"5,000","240,200","87,187",52.84,"271,379",4.13,3.61,
14,카카오뱅크,"47,750",850,+1.81%,"5,000","226,889","475,159",16.22,"1,867,104",154.53,5.08,
15,셀트리온,"155,500","4,500",+2.98%,"1,000","214,521","137,956",20.44,"401,458",39.57,16.68,
16,현대모비스,"225,000","2,500",+1.12%,"5,000","212,789","94,573",34.38,"201,329",9.06,4.66,
17,LG전자,"124,000",0,0.00%,"5,000","202,923","163,648",28.48,"704,648",17.89,13.23,
18,삼성물산,"108,500",0,0.00%,100,"202,772","186,887",15.92,"248,724",12.34,3.81,
19,신한지주,"38,950",850,-2.14%,"5,000","201,216","516,600",62.28,"1,678,157",5.17,8.20,
20,카카오페이,"144,000","9,000",+6.67%,500,"190,007","131,949",42.59,"300,079",-716.42,-17.97,
21,SK이노베이션,"201,000","5,500",+2.81%,"5,000","185,856","92,466",23.45,"356,401","-5,911.76",-13.58,
22,SK,"222,000",500,-0.22%,200,"164,612","74,149",21.96,"108,091",25.94,1.11,
23,LG생활건강,"942,000","14,000",-1.46%,"5,000","147,123","15,618",42.07,"63,260",19.60,17.92,
24,하나금융지주,"48,800",750,-1.51%,"5,000","146,518","300,242",71.41,"1,725,018",4.56,8.96,
25,HMM,"29,900",650,-2.13%,"5,000","146,223","489,039",10.90,"10,458,461",3.77,8.93,
26,한국전력,"21,800",500,-2.24%,"5,000","139,948","641,964",14.58,"2,106,946",-12.85,2.91,
27,크래프톤,"284,000","1,500",-0.53%,100,"139,365","49,072",29.70,"208,109",22.26,61.86,
28,삼성전기,"164,500","1,500",+0.92%,"5,000","122,871","74,694",29.70,"424,132",14.30,14.29,
29,삼성생명,"60,100",100,+0.17%,500,"120,200","200,000",12.71,"292,607",7.68,3.53,
30,하이브,"286,500","3,500",+1.24%,500,"118,477","41,353",15.08,"303,276",101.92,12.52,
31,SK텔레콤,"53,900",100,-0.19%,100,"117,951","218,833",45.00,"330,412",8.36,6.44,
32,LG,"74,100",400,+0.54%,"5,000","116,560","157,301",36.32,"188,042",4.89,7.50,
33,KT&G,"79,900",200,+0.25%,"5,000","109,697","137,292",36.40,"234,626",9.21,13.22,
34,삼성에스디에스,"139,000",0,0.00%,500,"107,555","77,378",11.45,"83,389",15.83,6.71,
35,SK바이오사이언스,"140,500","3,500",+2.55%,500,"107,482","76,500",5.27,"470,100",54.10,13.25,
36,아모레퍼시픽,"179,500","4,500",-2.45%,500,"104,994","58,493",30.28,"303,660",69.22,0.78,
37,우리금융지주,"14,200",50,-0.35%,"5,000","103,385","728,061",33.96,"3,009,302",4.34,5.87,
38,대한항공,"28,900",200,+0.70%,"5,000","100,520","347,821",12.59,"1,421,884",13.57,-7.22,
39,고려아연,"528,000","2,000",+0.38%,"5,000","99,634","18,870",18.35,"35,071",13.20,8.37,
40,두산중공업,"18,900",800,+4.42%,"5,000","98,702","522,230",8.05,"8,336,967",56.93,-37.20,
41,엔씨소프트,"444,000","4,500",-1.00%,500,"97,476","21,954",43.65,"325,293",27.41,20.83,
42,현대중공업,"109,500","4,000",+3.79%,"5,000","97,207","88,773",2.34,"273,907",-11.95,-7.86,
43,S-Oil,"83,200",400,-0.48%,"2,500","93,669","112,583",77.93,"407,654",8.01,-13.07,
44,삼성화재,"190,000","2,500",-1.30%,500,"90,012","47,375",48.85,"184,375",8.21,4.96,
45,포스코케미칼,"114,000","4,500",+4.11%,500,"88,308","77,463",6.41,"194,425",63.65,2.96,
46,넷마블,"102,500","2,500",+2.50%,100,"88,102","85,954",22.93,"209,805",37.91,6.35,
47,SK아이이테크놀로지,"120,500",500,+0.42%,"1,000","85,914","71,298",10.72,"268,170",79.22,11.00,
48,KT,"31,700",150,-0.47%,"5,000","82,772","261,112",39.64,"674,591",8.10,4.76,
